"","D","mean.SST","sd.SST","N","se.SST","CL95.SST"
"318",34400000,17.3875510077829,1.64302066778977,19,0.37693479226549,0.651770317110251
"319",34550000,18.5219421162624,0.875230938077181,19,0.200791747965197,0.347195599689351
"320",34700000,18.4187524077459,1.09854645103023,19,0.252023840254001,0.435782691468813
"321",34850000,19.0917676251416,0.930785447608743,19,0.213536826539199,0.369233533237076
"322",3.5e+07,19.4142566052747,0.969272284365859,19,0.222366312438189,0.384500887013886
"323",35150000,21.2612067912234,0.962953779154822,19,0.220916747928234,0.381994397457305
"324",35300000,21.5984542152083,0.702405416350126,19,0.161142854066622,0.278637396308795
"325",35450000,21.6512414867259,0.67212201489371,19,0.154195365297401,0.26662426552026
"326",35600000,21.2642063689685,0.821355419215065,19,0.188431856267787,0.325823705408509
"327",35750000,20.9655225617198,1.01838069259344,19,0.233632553950935,0.403981714876099
"328",35900000,22.0567160719809,0.882434838143425,18,0.207991886002156,0.360671159988083
"329",36050000,22.3019424605854,0.74185567110048,18,0.174857058565616,0.303213261618825
"330",36200000,22.602993826059,1.20322316131687,18,0.283602418882624,0.491784633333061
"331",36350000,22.5799921673476,1.20897384589909,18,0.284957868237477,0.494135068729924
"332",36500000,21.7107007493845,1.20079099715283,18,0.283029152291507,0.490790552600515
"333",36650000,21.5298496428936,1.20698809131776,18,0.284489821394065,0.493323445732571
"334",36800000,21.4835464288219,1.5659909208064,18,0.369107599792923,0.640056055726859
"335",36950000,19.0657604073344,1.63254050989727,17,0.395949232965069,0.6887959488503
"336",37100000,18.8980188050459,1.38645167481601,17,0.336263923534172,0.58496698311644
"337",37250000,18.8210821882901,0.950903573418753,17,0.2306279925284,0.401202007023596
"338",37400000,18.9674337015049,1.06118456299863,17,0.257375061265781,0.447731387701937
"339",37550000,19.1499559736346,1.1829329705871,17,0.286903387397428,0.499099062450288
"340",37700000,18.919529529258,1.42566225215854,18,0.336031815394329,0.58270054174093
"341",37850000,19.0537711032418,1.41482093693159,19,0.324582183541595,0.561245703597024
"342",3.8e+07,19.0659008262029,1.21173422934311,19,0.27799089748083,0.480683182138377
"343",38150000,21.0552485837096,1.33588703091862,19,0.306473503566362,0.529933390878508
"344",38300000,21.2899963527663,1.26668755997403,19,0.290598056156154,0.502482633863936
"345",38450000,21.5496068225676,1.22835699033499,20,0.274668973102609,0.473726588674389
"346",38600000,21.8463417374379,1.03792797330613,20,0.232087750406109,0.400285977083862
"347",38750000,22.2916342259123,0.876508639030383,20,0.195993289973776,0.338033202707835
"348",38900000,22.0881823575558,0.791016382296991,20,0.176876640213203,0.305062368122248
"349",39050000,22.1247061758223,0.762831567300747,20,0.170574323986718,0.294192648353773
"350",39200000,22.0079822572322,0.799738957286097,20,0.178827067274651,0.308426305256614
"351",39350000,21.7413622932433,0.7657074875618,21,0.167091072473638,0.287520777082238
"352",39500000,21.6627386361673,0.844543327858769,21,0.184294463218225,0.317123389610285
"353",39650000,21.4486892854318,1.01036250351104,21,0.220479173889735,0.379387973688588
"354",39800000,21.148582697762,1.0282528114001,21,0.224383159132957,0.386105728588543
"355",39950000,20.5636973333227,1.23093999508406,21,0.268613128734346,0.46221413487172
"356",40100000,20.0943195136708,1.81544306142416,22,0.387053761198454,0.664627188624639
"357",40250000,19.340652110516,1.53426134203629,22,0.327105617198857,0.561687570401195
"358",40400000,18.4653172187693,1.2944205322615,22,0.275971384743561,0.473882710802332
"359",40550000,17.8543491027653,1.00339888311846,22,0.213925360671276,0.367340729613946
"360",40700000,19.0933978066358,1.03009790546242,22,0.219617611361002,0.377115145863371
"361",40850000,19.5999435223184,1.23203724941501,22,0.262671224152076,0.451044414864309
"362",4.1e+07,21.6991549768792,1.19039893400888,21,0.259766343918592,0.446991092687307
"363",41150000,21.6967909802468,1.31013635324923,21,0.285895190927523,0.491952120736582
"364",41300000,20.9148385754724,1.42665862343605,21,0.3113224348932,0.535705870328588
"365",41450000,21.3678054320465,1.38299533565128,21,0.301794324352039,0.519310441737678
"366",41600000,21.9202407272629,0.950466600525742,21,0.207408816306503,0.356897248640028
"367",41750000,22.3024959294786,0.608595464056843,21,0.132806418173679,0.228525701520225
"368",41900000,22.4669068944154,0.518091778379496,20,0.115848843504031,0.199806613812677
"369",42050000,22.5613306068487,0.437679761139906,20,0.09786816982847,0.168795017904432
"370",42200000,22.5611977502402,0.466279806676848,20,0.104263334426489,0.179824874953117
"371",42350000,22.5191856964784,0.674902677085542,20,0.150912826415986,0.260282104810389
"372",42500000,22.4853588440082,0.823337789509902,20,0.184103926578855,0.317527400763901
"373",42650000,22.6279183912051,0.817301015397625,20,0.182754062850869,0.315199266166786
"374",42800000,22.7351241338152,1.01807628510427,20,0.227648777977361,0.392630000356179
"375",42950000,22.8251187881283,1.0807990138964,19,0.247952298939622,0.428742455788655
"376",43100000,19.0446275842475,1.53170893519078,19,0.35139812944289,0.607614035526934
"377",43250000,20.4951216517854,1.45197803593449,19,0.333106606677849,0.575985563341212
"378",43400000,19.0183041049544,1.17334355420068,19,0.269183472569242,0.465453974738739
"379",43550000,18.631527457857,0.641533213007061,19,0.147177812864354,0.254489985351707
"380",43700000,18.8633141936191,0.578759814952954,20,0.129414628888,0.223203771343958
"381",43850000,18.68954082826,0.877714560588662,20,0.196262942231761,0.338498276876426
"382",4.4e+07,20.1346902194584,1.18077695896528,20,0.264029754651184,0.455376934520796
"383",44150000,20.7500275196767,1.23367241739652,20,0.275857538726511,0.475776529488841
"384",44300000,21.2579098757383,1.43289624021067,20,0.320405339781491,0.552608934650372
"385",44450000,21.6759813046766,1.17936776787728,21,0.257359146118512,0.442848924157155
"386",44600000,22.1499635945401,0.872400185787259,21,0.190373327983983,0.327583553013117
"387",44750000,22.456607296939,0.615176622304473,21,0.134242544641786,0.23099690594776
"388",44900000,22.5425599726153,0.580474075614251,21,0.12666982811723,0.217966207733124
"389",45050000,22.5596363078801,0.623605401742025,21,0.136081855107913,0.234161886378416
"390",45200000,22.4621970186673,0.699304154807932,22,0.149092146755506,0.25601274106549
"391",45350000,22.4056315869952,0.818277537560686,22,0.174457357185643,0.299568469460572
"392",45500000,22.438225958737,0.899680597503587,22,0.191812547879008,0.32936983752598
"393",45650000,22.4160555441452,0.988642268361569,22,0.210779239834122,0.361938385917307
"394",45800000,22.3330173552381,1.07607875782624,22,0.229420762023609,0.393948570874869
"395",45950000,22.0992430175185,1.17421539559115,23,0.244840835188484,0.41962573625935
"396",46100000,21.7917965820068,1.3210496630202,23,0.275457896424952,0.472099445775821
"397",46250000,20.8528102422696,1.14080421823296,23,0.237874123118684,0.407685686800908
"398",46400000,20.4729242126039,1.32846603536525,23,0.277004316958909,0.474749811898893
"399",46550000,20.1241865824556,1.21457060271741,23,0.253255477556569,0.434047352230185
"400",46700000,19.3763057782372,1.02488445172259,24,0.20920366266937,0.357922797512442
"401",46850000,19.3568144192107,0.930234801690439,24,0.189883383760056,0.324868078547645
"402",4.7e+07,19.3337904477114,0.756015920791127,24,0.154321103613221,0.264025210723705
"403",47150000,19.4430758381456,0.619266575469237,24,0.126407260388363,0.216267916568896
"404",47300000,19.4625370648186,0.517431258198985,23,0.107891875618176,0.184912813697218
"405",47450000,20.0414090317807,0.565241187126335,23,0.117860934934573,0.201998500618012
"406",47600000,20.7489283485418,0.638962966365288,23,0.133232988535829,0.228344225608205
"407",47750000,19.3601723055564,0.674248306041921,23,0.140590490463306,0.240954038677054
"408",47900000,21.2070118548656,0.790536914779533,22,0.168543036536551,0.289412727029701
"409",48050000,21.5114359575138,1.02230787376934,22,0.217956771023603,0.374263243221263
"410",48200000,21.0878476551551,1.12678204377468,22,0.2402307389094,0.412510861871486
"411",48350000,21.1885514521276,1.21051085641087,22,0.25808178174304,0.443163679650091
"412",48500000,21.291549652409,1.17226824648094,21,0.255809903537717,0.440183075981518
"413",48650000,21.3934135278199,0.879340505755938,21,0.191887829965111,0.330189621548438
"414",48800000,21.5027811184959,1.01641910914631,21,0.221800833593455,0.381662210243695
"415",48950000,21.616932475752,1.31476030906593,20,0.293989342519005,0.507048782266816
"416",49100000,21.7375845727896,0.835536024122159,20,0.186831534758705,0.322231756351228
"417",49250000,21.865788760651,0.816344480136588,20,0.182540175064214,0.314830369999204
"418",49400000,22.0084851261216,1.52086439441017,20,0.340075617046018,0.586534620691811
"419",49550000,19.7276249105259,2.00936365262414,19,0.460979636979599,0.797095015744634
"420",49700000,19.4542813537072,1.59162137171907,19,0.365142985037,0.631380716324333
"421",49850000,19.4668531720317,0.960420198128121,19,0.220335504577673,0.380989350508371
"422",5e+07,19.1129138203021,0.978968925057813,19,0.224590874378613,0.388347450056334
"423",50150000,19.0026094099006,0.905106880311844,19,0.207645759178036,0.359047095368007
"424",50300000,19.36082448689,0.92527667490817,19,0.212273027407371,0.36704825669106
"425",50450000,19.4449350914511,1.02364694560593,20,0.228894415533489,0.3947783741733
"426",50600000,19.5559642985042,1.0920313013535,20,0.244185622338398,0.421151397506001
"427",50750000,19.7314428256665,1.18200266901998,20,0.264303831751485,0.455849640295653
"428",50900000,23.2889032624668,1.09498116487537,20,0.244845231874323,0.422289038105815
"429",51050000,22.7288083086085,0.983607145690772,20,0.21994124409191,0.379336676056012
"430",51200000,22.7421025620981,0.823836393895287,20,0.184215417908816,0.317719691894611
"431",51350000,22.5983983286758,0.725566641438662,20,0.162241633246306,0.279821104621168
"432",51500000,22.5631458513434,0.447891271028054,21,0.0977378882188591,0.168181777488422
"433",51650000,22.5248751567263,0.521036307870804,21,0.113699443839918,0.195647511041196
"434",51800000,22.365636987373,0.631285977484676,21,0.137757894142272,0.237045918651625
"435",51950000,22.146520687872,0.754672695707499,21,0.164683083476,0.283377247104502
"436",52100000,21.8116485067141,0.782655097230224,21,0.170789344100025,0.293884551736014
"437",52250000,21.3687841490545,0.795925941264377,21,0.173685279686809,0.298867712343972
"438",52400000,21.0144601270131,0.854187956546895,21,0.186399093742657,0.320744917648243
"439",52550000,20.6502752687589,1.00800607797876,22,0.214907617915882,0.369027407115715
"440",52700000,20.4196746400292,0.991023775960608,22,0.211286978960244,0.362810247301379
"441",52850000,19.9140634467126,0.805402202123091,22,0.171712326447029,0.29485485537026
"442",5.3e+07,19.2256776558972,0.663770241031927,22,0.141516290883543,0.243003902773834
"443",53150000,18.6031943398316,0.765042910736242,22,0.163107696611748,0.280079463654983
"444",53300000,18.0831524459056,1.29314918224913,22,0.275700332010186,0.473417274126057
"445",53450000,20.3005191092394,2.01858908298265,22,0.430364638519516,0.738998217965973
"446",53600000,21.9100537779527,1.89199928839772,22,0.403375603630698,0.692654148536688
"447",53750000,23.1232975045309,1.86454955374486,22,0.397523300538937,0.682604899205502
"448",53900000,23.0619308028779,1.68877542023789,21,0.368521009286714,0.634129911267183
"449",54050000,23.0713722243262,1.13507071294744,21,0.247692736248054,0.426215517976894
"450",54200000,23.0740225925326,0.764530352472887,21,0.166834200538013,0.28707876652208
"451",54350000,23.0794661246757,0.691693453654899,21,0.150939886146619,0.259728737838028
"452",54500000,23.2261161150909,0.749716246262098,21,0.163601497534963,0.281516115772682
"453",54650000,23.363039121021,0.653213291095935,21,0.142542826257064,0.245279556628589
