D,d18Oc,YEARMARKER,D_err,d18Oc_err
100100,-1.151,0,50,0.14
100200,-1.564,0,50,0.14
100300,-1.618,0,50,0.14
100400,-1.728,0,50,0.14
100500,-1.596,0,50,0.14
100600,-1.544,0,50,0.14
100700,-1.506,0,50,0.14
100800,-1.383,0,50,0.14
100900,-1.715,0,50,0.14
101000,-1.739,0,50,0.14
101100,-1.538,0,50,0.14
101200,-0.929,0,50,0.14
101300,-0.814,0,50,0.14
101400,-0.868,0,50,0.14
101500,-0.809,1,50,0.14
101600,-0.801,0,50,0.14
101700,-0.885,0,50,0.14
101800,-1.352,0,50,0.14
101900,-1.648,0,50,0.14
102000,-1.78,0,50,0.14
102100,-1.648,0,50,0.14
102200,-1.58,0,50,0.14
102300,-1.414,0,50,0.14
102400,-1.543,0,50,0.14
102500,-1.64,0,50,0.14
102600,-1.702,0,50,0.14
102700,-1.74,0,50,0.14
102800,-1.802,0,50,0.14
102900,-1.847,0,50,0.14
103000,-1.671,0,50,0.14
103100,-1.321,0,50,0.14
103200,-1.248,0,50,0.14
103300,-0.766,0,50,0.14
103400,-0.568,1,50,0.14
103500,-0.395,0,50,0.14
103600,-0.422,0,50,0.14
103700,-0.729,0,50,0.14
103800,-1.332,0,50,0.14
103900,-1.651,0,50,0.14
104000,-1.694,0,50,0.14
104100,-1.614,0,50,0.14
104200,-1.556,0,50,0.14
104300,-1.453,0,50,0.14
104400,-1.537,0,50,0.14
104500,-1.691,0,50,0.14
104600,-1.773,0,50,0.14
104700,-1.891,0,50,0.14
104800,-1.824,0,50,0.14
104900,-1.838,0,50,0.14
105000,-1.694,0,50,0.14
105100,-1.241,0,50,0.14
105200,-1.057,0,50,0.14
105300,-0.8,0,50,0.14
105400,-0.619,1,50,0.14
105500,-0.854,0,50,0.14
105600,-1.266,0,50,0.14
105700,-1.537,0,50,0.14
105800,-1.441,0,50,0.14
105900,-1.52,0,50,0.14
106000,-1.467,0,50,0.14
106100,-1.524,0,50,0.14
106200,-1.747,0,50,0.14
106300,-1.676,0,50,0.14
106400,-1.736,0,50,0.14
106500,-1.617,0,50,0.14
106600,-1.808,0,50,0.14
106700,-1.408,0,50,0.14
106800,-1.185,0,50,0.14
106900,-1.138,0,50,0.14
107000,-0.982,0,50,0.14
107100,-0.809,0,50,0.14
107200,-0.661,1,50,0.14
107300,-0.791,0,50,0.14
107400,-0.753,0,50,0.14
107500,-1.219,0,50,0.14
107600,-1.491,0,50,0.14
107700,-1.811,0,50,0.14
107800,-1.799,0,50,0.14
107900,-1.834,0,50,0.14
108000,-1.787,0,50,0.14
108100,-1.785,0,50,0.14
108200,-1.8,0,50,0.14
108300,-1.846,0,50,0.14
108400,-1.79,0,50,0.14
108500,-2.074,0,50,0.14
108600,-1.485,0,50,0.14
108700,-1.146,0,50,0.14
108800,-0.808,0,50,0.14
108900,-0.615,0,50,0.14
109000,-0.601,1,50,0.14
109100,-1.04,0,50,0.14
109200,-1.506,0,50,0.14
109300,-1.709,0,50,0.14
109400,-1.776,0,50,0.14
109500,-1.865,0,50,0.14
109600,-1.698,0,50,0.14
109700,-1.78,0,50,0.14
109800,-1.559,0,50,0.14
109900,-1.674,0,50,0.14
110000,-1.792,0,50,0.14
110100,-1.822,0,50,0.14
110200,-1.551,0,50,0.14
110300,-0.983,0,50,0.14
110400,-0.694,0,50,0.14
110500,-0.608,1,50,0.14
110600,-0.641,0,50,0.14
110700,-1.008,0,50,0.14
110800,-1.507,0,50,0.14
110900,-1.709,0,50,0.14
111000,-1.688,0,50,0.14
111100,-1.721,0,50,0.14
111200,-1.819,0,50,0.14
111300,-1.786,0,50,0.14
111400,-1.902,0,50,0.14
111500,-1.933,0,50,0.14
111600,-1.722,0,50,0.14
111700,-1.787,0,50,0.14
111800,-1.61,0,50,0.14
111900,-0.913,0,50,0.14
112000,-0.667,0,50,0.14
112100,-0.598,1,50,0.14
112200,-0.626,0,50,0.14
112300,-1.201,0,50,0.14
112400,-1.562,0,50,0.14
112500,-1.66,0,50,0.14
112600,-1.642,0,50,0.14
112700,-1.656,0,50,0.14
112800,-1.72,0,50,0.14
112900,-1.775,0,50,0.14
113000,-1.555,0,50,0.14
113100,-1.481,0,50,0.14
113200,-1.445,0,50,0.14
113300,-1.136,0,50,0.14
113400,-0.723,0,50,0.14
113500,-0.389,1,50,0.14
113600,-0.504,0,50,0.14
113700,-0.99,0,50,0.14
113800,-1.349,0,50,0.14
113900,-1.324,0,50,0.14
114000,-1.458,0,50,0.14
114100,-1.54,0,50,0.14
114200,-1.556,0,50,0.14
114300,-1.612,0,50,0.14
114400,-1.588,0,50,0.14
114500,-1.562,0,50,0.14
114600,-1.288,0,50,0.14
114700,-1.037,0,50,0.14
114800,-0.611,0,50,0.14
114900,-0.44,1,50,0.14
115000,-0.543,0,50,0.14
115100,-1.133,0,50,0.14
115200,-1.259,0,50,0.14
115300,-1.372,0,50,0.14
115400,-1.364,0,50,0.14
115500,-1.465,0,50,0.14
115600,-1.288,0,50,0.14
115700,-1.392,0,50,0.14
115800,-1.736,0,50,0.14
115900,-1.669,0,50,0.14
116000,-1.42,0,50,0.14
116100,-0.966,0,50,0.14
116200,-0.41,0,50,0.14
116300,-0.139,1,50,0.14
116400,-0.736,0,50,0.14
116500,-1.364,0,50,0.14
116600,-1.637,0,50,0.14
116700,-1.55,0,50,0.14
116800,-1.66,0,50,0.14
116900,-1.702,0,50,0.14
117000,-1.628,0,50,0.14
117100,-1.586,0,50,0.14
117200,-1.464,0,50,0.14
117300,-1.143,0,50,0.14
117400,-0.887,0,50,0.14
117500,-0.673,0,50,0.14
117600,-0.652,1,50,0.14
117700,-1.165,0,50,0.14
117800,-1.573,0,50,0.14
117900,-1.696,0,50,0.14
118000,-1.686,0,50,0.14
118100,-1.601,0,50,0.14
118200,-1.639,0,50,0.14
118300,-1.695,0,50,0.14
118400,-1.716,0,50,0.14
118500,-1.566,0,50,0.14
118600,-1.543,0,50,0.14
118700,-0.825,0,50,0.14
118800,-0.475,1,50,0.14
