D,d18Oc,YEARMARKER,D_err,d18Oc_err
80950,-0.812,0,100,0.14
81150,-1.021,0,100,0.14
81350,-1.183,0,100,0.14
81550,-1.49,0,100,0.14
81750,-1.5,0,100,0.14
81950,-1.547,0,100,0.14
82150,-1.496,0,100,0.14
82350,-1.557,0,100,0.14
82550,-1.707,0,100,0.14
82750,-1.77,0,100,0.14
82950,-1.705,0,100,0.14
83150,-1.661,0,100,0.14
83350,-1.627,0,100,0.14
83550,-1.598,0,100,0.14
83750,-1.698,0,100,0.14
83950,-1.727,0,100,0.14
84150,-1.521,0,100,0.14
84350,-1.21,0,100,0.14
84550,-0.826,0,100,0.14
84750,-0.798,1,100,0.14
84950,-0.873,0,100,0.14
85150,-0.917,0,100,0.14
85350,-1.07,0,100,0.14
85550,-1.359,0,100,0.14
85750,-1.411,0,100,0.14
85950,-1.727,0,100,0.14
86150,-1.762,0,100,0.14
86350,-1.735,0,100,0.14
86550,-1.782,0,100,0.14
86750,-1.672,0,100,0.14
86950,-1.747,0,100,0.14
87150,-1.777,0,100,0.14
87350,-1.71,0,100,0.14
87550,-1.609,0,100,0.14
87750,-1.544,0,100,0.14
87950,-1.494,0,100,0.14
88150,-1.179,0,100,0.14
88350,-0.832,1,100,0.14
88550,-0.837,0,100,0.14
88750,-0.943,0,100,0.14
88950,-1.148,0,100,0.14
89150,-1.114,0,100,0.14
89350,-1.409,0,100,0.14
89550,-1.496,0,100,0.14
89750,-1.667,0,100,0.14
89950,-1.611,0,100,0.14
90150,-1.737,0,100,0.14
90350,-1.774,0,100,0.14
90550,-1.63,0,100,0.14
90750,-1.686,0,100,0.14
90950,-1.677,0,100,0.14
91150,-1.795,0,100,0.14
91350,-1.653,0,100,0.14
91550,-1.514,0,100,0.14
91750,-1.246,0,100,0.14
91950,-0.838,0,100,0.14
92150,-0.525,0,100,0.14
92350,-0.524,1,100,0.14
92550,-0.756,0,100,0.14
92750,-1.268,0,100,0.14
92950,-1.513,0,100,0.14
93150,-1.601,0,100,0.14
93350,-1.69,0,100,0.14
93550,-1.588,0,100,0.14
93750,-1.712,0,100,0.14
93950,-1.588,0,100,0.14
94150,-1.834,0,100,0.14
94350,-1.737,0,100,0.14
94550,-1.721,0,100,0.14
94750,-1.494,0,100,0.14
94950,-0.402,1,100,0.14
95150,-0.871,0,150,0.14
95450,-1.184,0,150,0.14
95750,-1.273,0,150,0.14
96050,-1.595,0,150,0.14
96350,-1.607,0,150,0.14
96650,-1.631,0,150,0.14
96950,-1.606,0,150,0.14
97250,-1.589,0,150,0.14
97550,-1.467,0,150,0.14
97850,-1.524,0,150,0.14
98150,-1.302,0,150,0.14
98450,-1.441,0,150,0.14
98750,-1.352,0,150,0.14
99050,-1.259,0,150,0.14
99350,-1.193,0,150,0.14
99650,-1.17,0,300,0.14
100250,-0.793,0,150,0.14
100550,-0.74,1,150,0.14
100850,-1.059,0,150,0.14
101150,-1.099,0,150,0.14
101450,-1.228,0,150,0.14
101750,-1.272,0,150,0.14
102050,-1.216,0,150,0.14
102350,-1.339,0,150,0.14
102650,-1.459,0,150,0.14
102950,-1.634,0,150,0.14
103250,-1.578,0,150,0.14
103550,-1.644,0,150,0.14
103850,-1.448,0,150,0.14
104150,-1.554,0,150,0.14
104450,-1.397,0,150,0.14
104750,-1.566,0,150,0.14
105050,-1.411,0,150,0.14
105350,-1.412,0,150,0.14
105650,-1.542,0,150,0.14
105950,-1.464,0,150,0.14
106250,-1.389,0,150,0.14
106550,-1.397,0,300,0.14
107150,-0.993,0,150,0.14
107450,-0.702,0,150,0.14
107750,-0.498,1,300,0.14
108350,-0.997,0,150,0.14
108650,-0.981,0,300,0.14
109250,-1.015,0,150,0.14
109550,-0.98,0,150,0.14
109850,-1.265,0,150,0.14
110150,-1.252,0,150,0.14
110450,-1.362,0,150,0.14
110750,-1.405,0,150,0.14
111050,-1.454,0,150,0.14
111350,-1.262,0,150,0.14
111650,-1.688,0,150,0.14
111950,-1.735,0,150,0.14
112250,-1.489,0,150,0.14
112550,-1.346,0,150,0.14
112850,-1.734,0,150,0.14
113150,-1.723,0,150,0.14
113450,-1.464,0,150,0.14
113750,-1.601,0,150,0.14
114050,-1.805,0,150,0.14
114350,-1.798,0,150,0.14
114650,-1.693,0,300,0.14
115250,-1.624,0,150,0.14
115550,-1.66,0,150,0.14
115850,-1.37,0,150,0.14
116150,-1.335,0,150,0.14
116450,-1.054,0,150,0.14
116750,-0.78,0,150,0.14
117050,-0.826,0,150,0.14
117350,-0.96,0,150,0.14
117650,-0.921,0,150,0.14
117950,-0.906,0,150,0.14
118250,-0.818,0,300,0.14
118850,-0.797,1,300,0.14
