"","D","mean.day","sd.day","N","se.day","CL95.day"
"183",18400000,1580.94642160595,79.4270144423336,18,18.7211268405253,32.4636247290257
"184",18500000,1583.80557667582,79.8616370276754,18,18.8235683663093,32.6412648506941
"185",18600000,1586.76842345068,77.9315129054458,18,18.3686337478559,31.8523792854436
"186",18700000,1590.90164127922,72.0722168961458,18,16.9875844341375,29.4575519315804
"187",18800000,1595.43427517039,65.7010385323429,17,15.934842445978,27.7203590979698
"188",18900000,1792.26685774844,67.6671165342477,17,16.4116864030402,28.5498800529635
"189",1.9e+07,1767.7724719502,54.5504461079392,17,13.2304265427998,23.0157390026968
"190",19100000,1802.9022841614,52.7091547431345,17,12.7838477907629,22.2388676019311
"191",19200000,1845.92046101009,47.6461982179899,17,11.5559004654052,20.1027221754729
"192",19300000,1908.74606842809,41.5165595834126,17,10.0692447279211,17.5165258551876
"193",19400000,1931.14087637312,40.6811608977592,17,9.86663078554167,17.1640572782277
"194",19500000,1944.74450775709,43.9207514524689,17,10.65234690559,18.5308943254493
"195",19600000,1926.26277671095,51.9568688122978,17,12.6013916523214,21.9214656762846
"196",19700000,1927.1222460568,52.8430825462045,18,12.4552340024072,21.5981679954797
"197",19800000,1929.14456838075,60.0685095846996,18,14.1582834877034,24.5513641282005
"198",19900000,1948.00916173425,67.3007956863935,18,15.8629496696997,27.507363715832
"199",2e+07,1950.56737143382,76.5966636971609,18,18.054006772176,31.3067960972569
"200",20100000,1949.18756973258,88.3368064162816,18,20.8211849484387,36.1052590657404
"201",20200000,1957.5825261384,99.7841544823595,18,23.5193507631475,40.7840502096465
"202",20300000,2010.49888032896,109.867552549815,18,25.8960304801146,44.9053640114251
"203",20400000,2008.04124161377,121.171100542707,18,28.5603022925283,49.5253807994688
"204",20500000,1969.81878327044,133.373765323694,18,31.4364979642557,54.5128870393222
"205",20600000,1982.87437768671,144.557008165376,19,33.1636521143925,57.3443590208761
"206",20700000,1973.90642712914,155.097129872312,19,35.5817218708742,61.5255227773561
"207",20800000,2015.76768682167,163.711514956268,19,37.5579973467537,64.9427655473044
"208",20900000,2057.48679593163,173.65405804904,19,39.8389731669215,68.8868756802434
"209",2.1e+07,2061.75966732426,171.691376733172,19,39.3887031924878,68.1082990934071
"210",21100000,2077.39509936368,174.776302456372,19,40.0964336912119,69.3320591204654
"211",21200000,2218.99919032573,167.961537222929,19,38.5330193240259,66.6287080401601
"212",21300000,2288.46098653987,158.367886335231,19,36.3320848651267,62.8230000512695
"213",21400000,2262.15622134978,145.934026670902,19,33.4795618253911,57.890608867642
"214",21500000,2276.85599660012,130.287684555041,18,30.709101751321,53.2515357388807
"215",21600000,2284.08514552096,113.664848921508,18,26.7910618183141,46.4574052817792
"216",21700000,2303.28708088369,105.247859581363,18,24.8071584051171,43.01719057391
"217",21800000,2238.87711385499,110.541853842376,18,26.0549648189587,45.1809662642566
"218",21900000,2304.08074134974,124.468297520076,18,29.3374590730634,50.8730200892307
"219",2.2e+07,2324.42504657204,140.148381827098,18,33.0332903874208,57.2818266676554
"220",22100000,2341.51962077535,152.476537601844,18,35.9390645700366,62.3206239267782
"221",22200000,2350.89640921666,159.799267566863,18,37.6650485750574,65.3135899754889
