"","D","mean.d18O_mod","sd.d18O_mod","N","se.d18O_mod","CL95.d18O_mod"
"416",49100000,-1.46211626101142,0.192519821226304,20,0.0430487407278122,0.0742469484680248
"417",49250000,-1.49165639646336,0.188097806483085,20,0.0420599481714778,0.0725415599076506
"418",49400000,-1.52453574334599,0.350429583965476,20,0.0783584371073774,0.135146225965855
"419",49550000,-0.998991914867719,0.462987016733672,19,0.106216506216498,0.183662446024109
"420",49700000,-0.936009528503968,0.36673303495831,19,0.0841343283495392,0.145479427724501
"421",49850000,-0.938906260836789,0.221294976527217,19,0.0507685494418602,0.0877855646332653
"422",5e+07,-0.857353414816157,0.225568876741432,19,0.0517490493959938,0.089480979275653
"423",50150000,-0.831937652050823,0.208549972422084,19,0.0478446449718978,0.0827297454764994
"424",50300000,-0.914475688223493,0.213197390531836,19,0.04891083580815,0.0845733310348065
"425",50450000,-0.933856011855092,0.235863351522104,20,0.0527406487404353,0.090962759026106
"426",50600000,-0.959438778457183,0.25162011551924,20,0.056263968280737,0.0970394925129036
"427",50750000,-0.999871618817157,0.272350845396308,20,0.0608995004035681,0.105034479330796
"428",50900000,-1.81956296370202,0.25229980757497,20,0.0564159520447748,0.0973016216833674
"429",51050000,-1.69050882686833,0.226637591172989,20,0.0506777060119609,0.0874047640682055
"430",51200000,-1.69357201891661,0.189824053892923,20,0.042445948826916,0.0732073022798642
"431",51350000,-1.66046044439534,0.16718125378771,20,0.0373828648032964,0.0644749088988867
"432",51500000,-1.65233775376576,0.1032007536931,21,0.0225202507416726,0.0387515616332771
"433",51650000,-1.6435196213655,0.120054448818158,21,0.0261980285345433,0.0450800716684784
"434",51800000,-1.60682879893388,0.145457598498773,21,0.0317414502631964,0.0546188752653514
"435",51950000,-1.55634117232075,0.173887717904954,21,0.0379454109391704,0.0652942965678577
"436",52100000,-1.47918168357467,0.180335275859499,21,0.0393523834331855,0.0677153345013856
"437",52250000,-1.37713920485127,0.18339307402405,21,0.0400196496974214,0.0688635281898554
"438",52400000,-1.29549772511824,0.196817501508501,21,0.0429490999407044,0.0739043589051251
"439",52550000,-1.21158416330851,0.232259464972065,22,0.0495178843124151,0.0850293564782753
"440",52700000,-1.15845037788692,0.228346492156822,22,0.0486836357051252,0.0835968311754329
"441",52850000,-1.04195010292916,0.185576544267993,22,0.0395650521767348,0.067938906767341
