"","D","mean.GR","sd.GR","N","se.GR","CL95.GR"
"130",13100000,13634.5447990742,16071.1498121814,18,3788.00633788612,6568.6439321649
"131",13200000,13692.1022145486,14287.9699263508,18,3367.70680810404,5839.81781369132
"132",13300000,13610.9131576016,15921.7099457826,18,3752.78302358273,6507.56446472695
"133",13400000,13732.0637205488,11569.6725502482,18,2726.99797212945,4728.7879387895
"134",13500000,18636.8575698242,9861.68533280641,18,2324.42152425178,4030.69477164347
"135",13600000,14526.2956453111,9010.31428019134,18,2123.75144271509,3682.72008631374
"136",13700000,16417.4993582921,10661.508130389,18,2512.94156555786,4357.60051439038
"137",13800000,9611.87607380563,15629.1606608098,18,3683.82849583754,6387.99292765251
"138",13900000,9294.42167204805,20572.1341582204,18,4848.89852225236,8408.29845961937
"139",1.4e+07,10313.0135631417,28252.3510653755,18,6659.14300759667,11547.377540735
"140",14100000,25527.7469558322,27233.2258382625,19,6247.73049134772,10803.1557901319
"141",14200000,25395.4026837308,28240.0500308565,19,6478.71180237033,11202.5531538693
"142",14300000,12386.1367543284,26380.5862821772,19,6052.12156186135,10464.9219719304
"143",14400000,13363.5583524807,26836.4673100061,19,6156.7078424184,10645.7655412766
"144",14500000,14024.9208227871,24702.1248332175,19,5667.05609677483,9799.09264166558
"145",14600000,14835.2772573267,22116.6030866917,19,5073.89672785731,8773.44131440898
"146",14700000,15327.288453488,19085.60319671,19,4378.53766373557,7571.0731408473
"147",14800000,15654.5284227421,16227.8535590096,19,3722.92493338419,6437.4316571456
"148",14900000,15848.5418149099,14020.7025929705,19,3216.56977474721,5561.8763380633
"149",1.5e+07,16353.1294320284,12804.4218274566,19,2937.53583033419,5079.38958925051
"150",15100000,4.54476229830857,11504.9495277217,19,2639.41643904605,4563.90156802341
"151",15200000,4596.49258675848,9532.92913034505,20,2131.62775601395,3676.45727791356
"152",15300000,15848.9302529842,8135.88785958902,20,1819.23983113563,3137.67612500775
"153",15400000,14231.3124151542,6210.42063086241,20,1388.69226994755,2395.10289178161
"154",15500000,10375.5058774401,6653.23868599207,20,1487.70939724096,2565.87953758618
"155",15600000,4862.73534032497,9385.26639248369,19,2153.12777700236,3723.04388661285
"156",15700000,6788.31928138726,11998.3615249678,19,2752.6129144948,4759.63330787043
